title,price,location,beds,baths,area,url,property_type,purpose,creation_date
Original Picture 20 Marla House In Lake City Meadows Phase 1 - Block A For Sale,8.7 Crore,"Lake City Meadows Phase 1 - Block A, Lake City Meadows Phase 1",5,6,1 Kanal,https://www.zameen.com/Property/lake_city_meadows_phase_1_lake_city_meadows_phase_1_-_block_a_original_picture_20_marla_house_in_lake_city_meadows_phase_1_-_block_a_for_sale-54434990-4191-1.html,House,For Sale,4 days ago
5 Marla Beautiful Brand New Spanish House For SALE In Johar TownHot Location Near To Main Road or Emporium Mall,3.25 Crore,"Johar Town Phase 2, Johar Town",6,7,5 Marla,https://www.zameen.com/Property/johar_town_johar_town_phase_2_5_marla_beautiful_brand_new_spanish_house_for_sale_in_johar_townhot_location_near_to_main_road_or_emporium_mall-53851269-3961-1.html,House,For Sale,4 days ago
Charming 4-Bedroom 10 Marla House In DHA With Modern Comfort With Stylish Finishes Near Dolmen Mall -,4.89 Crore,"DHA Phase 6, DHA Defence",5,5,10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_6_charming_4-bedroom_10_marla_house_in_dha_with_modern_comfort_with_stylish_finishes_near_dolmen_mall_--52496128-1448-1.html,House,For Sale,4 days ago
5 Marla Luxury House For Sale In Al Haram Garden,1.4 Crore,"Al Haram Garden, Lahore",3,4,5 Marla,https://www.zameen.com/Property/lahore_al_haram_garden_5_marla_luxury_house_for_sale_in_al_haram_garden-54196908-9212-1.html,House,For Sale,3 days ago
4 Marla House For Sale In Paragon City Lahore,1.75 Crore,"Paragon City, Lahore",3,4,4 Marla,https://www.zameen.com/Property/lahore_paragon_city_4_marla_house_for_sale_in_paragon_city_lahore-50680757-1014-1.html,House,For Sale,3 days ago
4 Marla House For Sale In Paragon City Lahore,1.9 Crore,"Paragon City, Lahore",3,4,4 Marla,https://www.zameen.com/Property/lahore_paragon_city_4_marla_house_for_sale_in_paragon_city_lahore-50644904-1014-1.html,House,For Sale,3 days ago
5 MARLA HOUSE FOR Sale,2.15 Crore,"Paragon City - Imperial Block, Paragon City",3,4,5 Marla,https://www.zameen.com/Property/paragon_city_paragon_city_-_imperial_block_5_marla_house_for_sale-54321592-9245-1.html,House,For Sale,3 days ago
2 bed Fully Luxury Flat Is For Sale In Phase 8 DHA Lahore,1.8 Crore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",2,2,4.5 Marla,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_ex_air_avenue_2_bed_fully_luxury_flat_is_for_sale_in_phase_8_dha_lahore-54358336-407-1.html,Flat,For Sale,3 days ago
5 Marla Brand New Luxurious House With Double Height Lobby For Sale In DHA Phase 9 Town,3 Crore,"DHA 9 Town, DHA Defence",3,5,5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_brand_new_luxurious_house_with_double_height_lobby_for_sale_in_dha_phase_9_town-54451874-1452-1.html,House,For Sale,11 hours ago
1 Kanal Modern Design Luxurious House At Very Reasonable Price,8.75 Crore,"DHA Phase 7 - Block T, DHA Phase 7",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_t_1_kanal_modern_design_luxurious_house_at_very_reasonable_price-54267812-1627-1.html,House,For Sale,12 hours ago
Most Elegant 1 Kanal Furnished House in DHA Phase 7 Nearby DHA Raya,8.36 Crore,"DHA Phase 7, DHA Defence",5,5,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_7_most_elegant_1_kanal_furnished_house_in_dha_phase_7_nearby_dha_raya-54434107-1450-1.html,House,For Sale,15 hours ago
Double Height Designed 1 Kanal House in DHA Phase 6 For Sale,8.25 Crore,"DHA Phase 6, DHA Defence",5,5,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_double_height_designed_1_kanal_house_in_dha_phase_6_for_sale-54434073-1448-1.html,House,For Sale,15 hours ago
"5 Marla House For Sale Alfalah Town, Lahore",2.25 Crore,"Alfalah Town, Lahore",3,4,5 Marla,https://www.zameen.com/Property/lahore_alfalah_town_5_marla_house_for_sale_alfalah_town_lahore-54310396-738-1.html,House,For Sale,15 hours ago
3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,3.3 Crore,"Park View City, Lahore",5,6,10 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_10_marla_brand_new_house_for_sale_in_park_view_city-54443249-1466-1.html,House,For Sale,15 hours ago
End Your Search For Flat Here And Sale Now,60 Lakh,"Bahria Town - Block AA, Bahria Town - Sector D",1,1,2.2 Marla,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_aa_end_your_search_for_flat_here_and_sale_now-54422472-1797-1.html,Flat,For Sale,15 hours ago
1 Kanal Outstanding Top Quality Brand New House With Basement Designed By Mazher Munir For Sale In Dha PHASE 7,7.11 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_1_kanal_outstanding_top_quality_brand_new_house_with_basement_designed_by_mazher_munir_for_sale_in_dha_phase_7-54123145-1632-1.html,House,For Sale,10 hours ago
