title,product_url,new_price,old_price,discount,features
Apple Macbook Pro 16 M4 Max Chip Z1FT000LG 16 Core CPU 40 Core GPU 64GB RAM 2TB SSD,https://www.mega.pk/laptop_products/26408/Apple-Macbook-Pro-16-M4-Max-Chip-Z1FT000LG-16-Core-CPU-40-Core-GPU-64GB-RAM-2TB-SSD.html,"1,512,000 - PKR
1,494,999 - PKR","1,512,000 - PKR",1 % Off,M4 Max Chip|RAM: 64GB Unified memory|Screen: 16 Inches|OS: macOS|Storage: 2TB SSD|SSD
Apple Macbook Pro 14 M4 Chip MW2U3 10 Core Cpu 10 Core Gpu 16GB RAM 512GB SSD Space Black,https://www.mega.pk/laptop_products/26344/Apple-Macbook-Pro-14-M4-Chip-MW2U3-10-Core-Cpu-10-Core-Gpu-16GB-RAM-512GB-SSD-Space-Black.html,"469,999 - PKR
464,499 - PKR","469,999 - PKR",1 % Off,M4 Chip|RAM: 16GB Unified memory|Screen: 14 Inches|OS: macOS|Storage: 512GB SSD|SSD
Apple Macbook Pro 16 M4 Max Chip MX313 16 Core CPU 40 Core GPU 48GB RAM 1TB SSD Space Black,https://www.mega.pk/laptop_products/26343/Apple-Macbook-Pro-16-M4-Max-Chip-MX313-16-Core-CPU-40-Core-GPU-48GB-RAM-1TB-SSD-Space-Black.html,"1,299,999 - PKR
1,284,999 - PKR","1,299,999 - PKR",1 % Off,M4 Max Chip|RAM: 48GB Unified memory|Screen: 16 Inches|OS: macOS|Storage: 1TB SSD|SSD
Apple Macbook Pro 16 M4 Pro Chip MX2U3 14 Core CPU 20 Core GPU 48GB RAM 512GB SSD Silver,https://www.mega.pk/laptop_products/26342/Apple-Macbook-Pro-16-M4-Pro-Chip-MX2U3-14-Core-CPU-20-Core-GPU-48GB-RAM-512GB-SSD-Silver.html,"839,999 - PKR
817,999 - PKR","839,999 - PKR",3 % Off,M4 Pro Chip|RAM: 48GB Unified memory|Screen: 16 Inches|OS: macOS|Storage: 512GB SSD|SSD
Apple Macbook Pro 16 M4 Pro Chip MX2T3 14 Core Cpu 20 Core Gpu 24GB RAM 512GB SSD Silver,https://www.mega.pk/laptop_products/26341/Apple-Macbook-Pro-16-M4-Pro-Chip-MX2T3-14-Core-Cpu-20-Core-Gpu-24GB-RAM-512GB-SSD-Silver.html,"739,999 - PKR
719,499 - PKR","739,999 - PKR",3 % Off,M4 Pro Chip|RAM: 24GB Unified memory|Screen: 16 Inches|OS: macOS|Storage: 512GB SSD|SSD
Apple Macbook Pro 14 M4 Pro Chip MX2H3 12 Core Cpu 16 Core Gpu 24GB RAM 512GB SSD Space Black,https://www.mega.pk/laptop_products/26340/Apple-Macbook-Pro-14-M4-Pro-Chip-MX2H3-12-Core-Cpu-16-Core-Gpu-24GB-RAM-512GB-SSD-Space-Black.html,"624,999 - PKR
609,999 - PKR","624,999 - PKR",2 % Off,M4 Pro Chip|RAM: 24GB Unified memory|Screen: 14 Inches|OS: macOS|Storage: 512GB SSD|SSD
Apple Macbook Pro 14 M4 Max Chip MX2G3 14 Core Cpu 32 Core Gpu 36GB RAM 1TB SSD Silver,https://www.mega.pk/laptop_products/26339/Apple-Macbook-Pro-14-M4-Max-Chip-MX2G3-14-Core-Cpu-32-Core-Gpu-36GB-RAM-1TB-SSD-Silver.html,"874,999 - PKR",,N/A,M4 Max Chip|RAM: 36GB Unified memory|Screen: 14 Inches|OS: macOS|Storage: 1TB SSD|SSD
Apple Macbook Pro 14 M4 Max Chip MX2K3 14 Core Cpu 32 Core Gpu 36GB RAM 1TB SSD Space Black,https://www.mega.pk/laptop_products/26337/Apple-Macbook-Pro-14-M4-Max-Chip-MX2K3-14-Core-Cpu-32-Core-Gpu-36GB-RAM-1TB-SSD-Space-Black.html,"874,999 - PKR
862,499 - PKR","874,999 - PKR",1 % Off,M4 Max Chip|RAM: 36GB Unified memory|Screen: 14 Inches|OS: macOS|Storage: 1TB SSD|SSD
Apple Macbook Pro 14 M4 Pro Chip MX2E3 12 Core Cpu 16 Core Gpu 24GB RAM 512GB SSD Silver,https://www.mega.pk/laptop_products/26336/Apple-Macbook-Pro-14-M4-Pro-Chip-MX2E3-12-Core-Cpu-16-Core-Gpu-24GB-RAM-512GB-SSD-Silver.html,"624,999 - PKR
609,999 - PKR","624,999 - PKR",2 % Off,M4 Pro Chip|RAM: 24GB Unified memory|Screen: 14 Inches|OS: macOS|Storage: 512GB SSD|SSD
Apple Macbook Pro 14 M4 Chip MCX14 10 Core Cpu 10 Core Gpu 24GB RAM 1TB SSD Silver,https://www.mega.pk/laptop_products/26335/Apple-Macbook-Pro-14-M4-Chip-MCX14-10-Core-Cpu-10-Core-Gpu-24GB-RAM-1TB-SSD-Silver.html,"560,999 - PKR
542,499 - PKR","560,999 - PKR",3 % Off,M4 Chip|RAM: 24GB Unified memory|Screen: 14 Inches|OS: macOS|Storage: 1TB SSD|SSD
